"X","Tenure","Gender","EducationLevel","LoanStatus","NetPromoterScore","TransactionFrequency","Surname","Age","Geography","ComplaintsCount","HasCrCard","EstimatedSalary","IsActiveMember","AvgTransactionAmount","CustomerSegment","MaritalStatus","DigitalEngagementScore","ID","CreditScore","SavingsAccountFlag","Balance","NumOfProducts","Exited"
5942,4,"Male","University","No loan",8,NA,"Swadling",34,NA,NA,1,126192.54,1,NA,"Mass Market",NA,73,NA,628,NA,158741.43,2,0
5943,NA,"Female","University","No loan",9,32,"Game",43,"Spain",0,1,NA,0,NA,"Mass Market","Married",NA,NA,700,1,0,NA,0
5944,8,"Male","University",NA,NA,NA,"Rizzo",37,"France",NA,0,145004.39,0,NA,"Mass Market","Married",59,NA,NA,1,0,2,0
5945,5,NA,NA,NA,NA,33,NA,32,"Germany",0,NA,NA,1,86.6420623668118,NA,"Single",77,NA,NA,0,146602.25,NA,0
5946,6,"Female","Postgraduate",NA,7,39,NA,30,"France",1,1,NA,0,63.402842968977,"High Net Worth",NA,NA,NA,NA,0,131286.46,1,0
5947,3,NA,NA,"Active loan",4,NA,"Coupp",33,"Spain",NA,NA,68064.83,1,99.585738847723,"Affluent","Single",76,NA,662,0,0,2,0
5948,NA,NA,"University",NA,10,NA,"Nicholls",27,NA,0,1,90591.15,0,111.535050309277,"Mass Market","Married",38,NA,NA,NA,141223.68,2,0
5949,NA,NA,"University",NA,8,32,"Wilson",33,"France",0,1,183983.82,0,121.744932560327,NA,"Married",59,NA,850,1,NA,NA,0
5950,NA,"Female","High School","Active loan",5,34,NA,NA,"Spain",0,1,142210.94,NA,197.87422533261,"Affluent","Single",58,NA,744,NA,NA,1,0
5951,8,"Female",NA,"Active loan",6,NA,NA,40,NA,0,0,23101.13,0,70.5014528606951,NA,"Single",69,NA,512,0,153537.57,NA,0
5952,2,"Male","University","No loan",10,29,"Chibuzo",NA,"Germany",0,0,NA,1,69.5502373876026,"Mass Market","Married",73,NA,NA,1,101099.9,NA,0
5953,8,NA,"High School",NA,9,NA,"Ch'eng",NA,"France",0,NA,68666.63,NA,100.698501827564,NA,"Married",52,NA,715,1,0,2,0
5954,3,"Male","University","No loan",9,29,"Tsou",NA,"France",0,1,121866.87,0,NA,"Mass Market",NA,NA,NA,850,1,0,2,0
5955,NA,"Female","University",NA,NA,19,"Landman",NA,NA,NA,NA,NA,1,85.9082782369323,"Mass Market","Married",37,NA,NA,1,NA,1,0
5956,5,"Male","High School","Active loan",4,NA,"T'ien",33,"France",0,NA,187946.55,NA,106.020424147759,NA,"Single",60,NA,491,NA,83134.3,1,0
5957,0,"Female",NA,"No loan",9,23,NA,52,"France",0,NA,32159.46,NA,180.781494378167,"Mass Market","Married",57,NA,626,NA,0,2,1
5958,5,"Female",NA,"No loan",NA,NA,"Hsiung",38,NA,0,NA,NA,0,NA,"Mass Market","Married",59,NA,NA,1,0,2,0
5959,8,"Male","University","No loan",9,34,"Loftus",NA,NA,0,1,175753.55,0,246.578869823327,"Mass Market","Married",NA,NA,NA,1,NA,1,1
5960,NA,"Female",NA,NA,NA,32,"Fallaci",33,"France",NA,1,NA,1,126.967292783947,NA,NA,79,NA,640,1,84719.13,NA,0
5961,3,NA,"High School",NA,9,22,"Yefimova",49,"France",NA,1,49872.33,1,87.0546333352501,"Affluent","Single",NA,NA,615,1,0,2,0
5962,NA,"Male","University","No loan",NA,27,"Martin",43,"Germany",0,NA,NA,0,NA,"Mass Market","Married",75,NA,738,1,121152.05,2,1
5963,8,"Male","University",NA,10,NA,"Hobson",52,"Germany",0,1,NA,1,57.0428208491621,"Mass Market","Married",57,NA,597,NA,83693.34,2,0
5964,7,"Male","High School","Active loan",6,NA,"Chukwufumnanya",50,"Spain",0,0,NA,1,NA,"Affluent","Single",NA,NA,NA,NA,NA,2,0
5965,6,"Female","University",NA,10,28,"Ingram",43,"France",0,0,125154.57,NA,75.4886022007902,NA,"Married",80,NA,556,1,0,3,1
5966,NA,NA,"University","No loan",9,38,"Cattaneo",NA,"Spain",0,1,180593.45,1,NA,"Mass Market",NA,34,NA,681,NA,NA,NA,0
5967,6,"Male","University","No loan",9,30,"Curtis",44,"Spain",NA,1,178722.24,0,NA,NA,NA,NA,NA,752,1,NA,1,0
5968,NA,NA,"University","No loan",10,30,"Martin",36,"Spain",0,1,104852.6,NA,80.4932132348787,"Mass Market","Married",NA,NA,622,1,0,NA,0
5969,NA,"Male",NA,"Active loan",3,32,"Carr",28,NA,1,1,70179.91,1,157.765772694272,"High Net Worth","Divorced",50,NA,692,0,61581.97,1,0
5970,3,"Female","University","No loan",9,32,"Toscani",46,NA,0,1,29372.62,NA,75.2868667591143,NA,"Married",60,NA,568,1,0,2,0
5971,2,"Male","High School","Active loan",NA,28,"Palerma",42,"Germany",0,NA,NA,1,119.469876887666,"Affluent","Single",62,NA,NA,1,88120.97,NA,0
5972,NA,"Female","University",NA,NA,18,"Goloubev",NA,"France",0,1,97767.63,0,104.848493823567,"Mass Market","Married",NA,NA,526,1,0,NA,0
5973,4,NA,"University","No loan",9,35,"Rawling",27,"France",0,1,NA,NA,NA,NA,NA,59,NA,583,1,0,3,0
5974,7,"Male","University","No loan",8,22,"Hsueh",29,NA,0,1,116828.51,0,NA,NA,"Married",NA,NA,485,NA,NA,1,1
5975,NA,NA,NA,"Active loan",4,NA,"Ikechukwu",42,"Germany",0,0,139946.68,NA,NA,"Affluent","Single",43,NA,791,0,113657.41,NA,1
5976,10,NA,"University",NA,8,34,NA,42,NA,0,1,79510.37,1,99.6675728879359,NA,"Married",52,NA,NA,1,145988.65,2,0
5977,NA,NA,NA,"Active loan",NA,NA,NA,28,"France",0,NA,151316.37,NA,NA,"Affluent","Single",78,NA,NA,NA,NA,2,0
5978,NA,"Male","University","No loan",10,25,"Grant",NA,"Spain",0,NA,116816.54,1,65.5080007994377,"Mass Market",NA,NA,NA,683,NA,95053.1,NA,1
5979,NA,"Male",NA,"No loan",10,NA,NA,40,"France",NA,1,112465.19,0,58.2505508429088,"Mass Market",NA,83,NA,576,NA,NA,NA,1
5980,9,"Female","High School","No loan",NA,30,"Moore",70,NA,0,1,122996.76,1,64.123829884736,"Mass Market","Married",58,NA,559,NA,0,NA,0
5981,NA,NA,"University","No loan",NA,26,NA,41,"France",0,NA,57549.65,1,109.186971025535,"Mass Market",NA,60,NA,773,1,190238.93,1,0
5982,5,"Male","Postgraduate",NA,NA,30,"Ward",NA,"Spain",NA,NA,20058.61,0,88.5832048576597,"High Net Worth","Divorced",51,NA,586,NA,168094.01,1,0
5983,NA,NA,NA,NA,6,NA,"Duffy",NA,"Germany",0,1,NA,0,130.158483988005,"Affluent","Single",50,NA,637,0,NA,1,1
5984,5,"Female","High School",NA,5,NA,"Udegbunam",NA,"France",0,1,82969.61,NA,28.3190698752879,"Affluent","Single",58,NA,627,1,0,NA,1
5985,7,NA,"University","No loan",8,23,"Ruiz",33,"France",NA,1,85411.01,1,NA,"Mass Market","Married",NA,NA,507,1,0,2,0
5986,5,"Male","University","No loan",NA,21,"Lueck",NA,NA,0,NA,88721.84,NA,218.245819072401,"Mass Market","Married",33,NA,NA,1,0,2,0
5987,1,"Female","High School","Active loan",4,48,"Kegley",32,NA,0,1,106851.7,0,105.232564439007,"Affluent","Single",55,NA,NA,0,0,1,0
5988,5,"Male","Postgraduate","Active loan",NA,34,"Kovalyova",38,"Spain",1,1,8651.92,1,NA,"High Net Worth",NA,NA,NA,NA,0,75075.14,1,1
5989,9,"Male","University","No loan",NA,NA,"Nkemdilim",45,"Germany",0,0,88211.12,0,37.0738880622615,"Mass Market","Married",72,NA,817,1,NA,1,1
5990,NA,NA,"Postgraduate","Active loan",NA,33,"Dale",NA,NA,1,1,NA,NA,NA,"High Net Worth","Divorced",NA,NA,752,0,NA,2,0
5991,NA,NA,"Other",NA,NA,30,"Swaim",32,"Germany",NA,1,56246.69,0,NA,"High Net Worth","Widowed",NA,NA,520,0,110029.77,NA,0
5992,1,"Male","University","No loan",NA,33,"Nicholls",53,NA,0,0,26015.8,NA,88.7960536207372,"Mass Market","Married",NA,NA,NA,1,NA,NA,0
5993,1,"Male","High School",NA,6,26,"Chiemezie",NA,NA,NA,1,NA,0,132.447144308718,"Affluent",NA,57,NA,578,0,157267.95,NA,0
5994,2,NA,NA,NA,10,NA,"Skelton",30,"Spain",NA,NA,145537.32,1,236.028732082652,"Mass Market","Married",NA,NA,702,1,NA,2,0
5995,2,"Female","University","No loan",10,24,NA,64,NA,0,1,NA,NA,102.619824685807,"Mass Market","Married",68,NA,595,1,105736.32,NA,1
5996,6,"Male","High School","No loan",9,28,NA,36,NA,NA,1,118120.88,0,129.779612891838,"Affluent",NA,72,NA,695,1,NA,2,0
5997,4,NA,"University","No loan",10,29,"Genovese",32,NA,0,NA,146504.35,1,42.700406568923,NA,"Married",NA,NA,596,NA,NA,NA,0
5998,NA,"Male",NA,NA,4,33,"Freeman",NA,"Germany",NA,NA,144584.29,1,146.643732481748,NA,NA,NA,NA,698,0,NA,2,0
5999,1,"Female","University","No loan",10,35,NA,36,NA,0,NA,54184.06,1,209.368924370975,"Mass Market","Married",74,NA,NA,1,104356.94,2,0
6000,8,NA,"University",NA,9,NA,"Ni",28,"Germany",0,1,89017.38,1,123.213175709857,"Mass Market",NA,50,NA,421,1,122384.22,NA,1
6001,8,"Male","University","No loan",9,19,"Watterston",37,NA,NA,NA,933.38,1,81.3056193667219,"Mass Market",NA,68,NA,763,NA,NA,NA,0
6002,7,"Female","Other","Default risk",0,31,NA,NA,"France",4,0,NA,1,NA,"High Net Worth","Widowed",53,NA,NA,NA,NA,NA,0
6003,NA,NA,"High School","No loan",9,36,"Kemp",32,NA,NA,NA,170770.44,1,NA,"Affluent",NA,77,NA,699,1,0,2,0
6004,NA,"Female",NA,NA,10,NA,"Tretiakova",26,"France",0,1,100200.4,NA,NA,"Mass Market",NA,75,NA,544,1,0,1,1
6005,2,NA,"University","No loan",9,36,"Sheffield",35,NA,NA,NA,118983.18,1,NA,"Mass Market","Married",51,NA,601,1,0,2,0
6006,6,NA,"High School","No loan",9,35,"L?",NA,"Spain",0,1,188657.97,NA,82.1679776531588,"Mass Market","Married",45,NA,NA,NA,123081.84,2,0
6007,8,"Male","University","No loan",10,16,"Ferri",35,NA,0,1,42143.55,0,126.75889142819,"Mass Market","Married",51,NA,NA,NA,NA,NA,0
6008,6,"Male","Postgraduate","Active loan",3,35,NA,41,"France",NA,0,NA,0,113.29892556213,"High Net Worth","Divorced",52,NA,610,0,0,3,1
6009,NA,"Male",NA,"No loan",9,NA,"Bovee",54,"Spain",NA,0,NA,1,39.4922178053166,NA,"Married",67,NA,542,NA,105770.14,1,1
6010,5,"Female","Postgraduate","Default risk",NA,32,"Ritchie",70,NA,2,1,705.18,1,NA,"High Net Worth","Divorced",64,NA,NA,0,0,1,0
6011,NA,"Male",NA,NA,1,28,NA,41,NA,2,1,NA,1,94.5677941206046,"High Net Worth",NA,34,NA,705,0,72252.64,NA,0
6012,8,"Male",NA,"No loan",NA,22,NA,52,"France",0,NA,178229.04,NA,NA,"Mass Market",NA,42,NA,NA,1,0,2,0
6013,0,NA,"High School",NA,2,22,"Craig",35,"Spain",NA,1,155356.34,1,242.756188191714,NA,"Single",NA,NA,597,1,127510.99,1,0
6014,4,"Female","University","No loan",NA,29,"Kirwan",NA,"Spain",0,1,199242.65,1,53.1493263134591,"Mass Market",NA,NA,NA,NA,1,NA,1,0
6015,5,"Female","University",NA,10,34,NA,NA,"France",0,0,NA,NA,NA,"Mass Market","Married",34,NA,841,1,NA,1,1
6016,5,"Male",NA,"No loan",8,30,NA,28,"France",NA,1,96498.14,1,NA,"Mass Market","Married",48,NA,724,1,NA,NA,0
6017,NA,"Female","University","No loan",10,34,"Simpkinson",48,"Germany",0,1,NA,1,NA,"Mass Market","Married",57,NA,NA,1,NA,1,0
6018,0,NA,"University","No loan",9,31,"Paterson",43,"Germany",0,1,184044.8,0,54.8001572753429,NA,"Married",78,NA,850,1,108508.82,NA,1
6019,6,"Female",NA,"Active loan",7,NA,"Calabrese",37,"Germany",0,NA,192026.02,0,112.255670812904,"Affluent",NA,59,NA,NA,0,104414.03,1,0
6020,1,"Male",NA,NA,NA,27,"Travis",28,NA,0,1,51670.82,1,NA,"Mass Market","Married",65,NA,524,NA,93577.3,NA,0
6021,6,"Male","University",NA,10,36,NA,33,NA,NA,0,NA,NA,100.478642338496,"Mass Market","Married",56,NA,NA,1,0,2,0
6022,4,NA,"University",NA,8,26,NA,NA,"France",0,1,157015.5,0,93.1850190574724,"Mass Market","Married",57,NA,556,1,150005.38,1,1
6023,6,"Male",NA,"No loan",10,NA,"Poole",45,"Germany",0,1,108872.45,NA,89.3730157532958,"Mass Market","Married",57,NA,NA,NA,99564.22,1,1
6024,NA,NA,"University","No loan",8,19,"Fang",37,NA,NA,1,83978.86,NA,78.764130203599,NA,"Married",79,NA,NA,1,0,2,1
6025,5,"Male",NA,"No loan",10,29,"McClaran",71,"France",0,NA,NA,1,NA,"Mass Market","Married",67,NA,NA,1,NA,2,0
6026,10,"Female","University",NA,9,NA,"Ikemefuna",21,"France",0,1,9262.77,NA,148.875003725018,"Mass Market","Married",72,NA,NA,1,NA,NA,0
6027,4,NA,"Postgraduate","Active loan",3,34,NA,37,"Germany",1,1,35625.41,0,243.563297190899,NA,"Divorced",55,NA,NA,0,142711.81,NA,0
6028,8,"Female",NA,NA,6,33,"Windsor",NA,"Germany",NA,1,87834.24,0,NA,"Affluent","Single",54,NA,850,0,69385.17,2,0
6029,0,"Female","University","No loan",8,33,"Onuchukwu",25,NA,0,NA,101274.17,1,NA,"Mass Market","Married",NA,NA,602,NA,0,NA,0
6030,NA,NA,"Postgraduate",NA,7,40,"Forbes",25,NA,1,1,168607.74,NA,175.628357656812,"High Net Worth",NA,64,NA,725,NA,0,2,0
6031,9,"Male","High School",NA,9,17,"Onwumelu",43,NA,NA,1,56099.86,NA,40.1368498852651,"Mass Market","Married",44,NA,664,1,189026.53,2,0
6032,3,"Male","Postgraduate","Active loan",NA,NA,NA,20,NA,1,NA,149613.77,NA,NA,"High Net Worth","Divorced",59,NA,613,NA,0,NA,0
6033,4,NA,"University","No loan",10,27,"Udinesi",52,"France",0,0,144113.42,1,NA,"Mass Market",NA,NA,NA,NA,NA,NA,NA,0
6034,5,"Male","Postgraduate","Default risk",1,31,NA,40,"Germany",2,1,NA,NA,112.898888385324,"High Net Worth",NA,85,NA,750,0,168286.81,3,1
6035,NA,"Male","Other","Default risk",0,NA,NA,NA,"France",NA,1,2578.43,NA,225.800804745723,"High Net Worth",NA,41,NA,622,0,NA,1,0
6036,7,"Male",NA,NA,7,29,NA,NA,"Germany",NA,NA,NA,1,NA,"Affluent","Single",NA,NA,652,0,NA,2,0
6037,8,NA,"High School",NA,9,35,"Shaw",23,"France",NA,1,NA,NA,23.3399286660441,NA,"Married",49,NA,NA,NA,73112.95,1,0
6038,6,"Female","Postgraduate",NA,7,38,NA,40,NA,1,NA,NA,1,71.7318875078994,"High Net Worth",NA,47,NA,704,NA,95452.89,1,0
6039,NA,"Male","Postgraduate",NA,3,33,"Schofield",45,"France",1,1,23054.51,NA,59.0444014819611,"High Net Worth","Divorced",50,NA,651,0,165901.59,2,1
6040,NA,NA,"High School",NA,4,30,NA,NA,NA,NA,NA,NA,1,NA,NA,"Single",66,NA,680,0,140007.19,NA,0
6041,7,"Male","University","No loan",9,36,NA,NA,"Germany",NA,1,79005.95,1,108.562991622275,NA,"Married",35,NA,599,NA,108380.72,1,0
6042,5,"Male","Postgraduate","Default risk",1,NA,NA,36,NA,2,1,NA,1,134.553311228234,"High Net Worth",NA,51,NA,NA,0,0,2,0
6043,7,"Male",NA,"No loan",NA,NA,NA,41,NA,0,0,134878.34,NA,NA,NA,NA,53,NA,NA,1,NA,2,0
6044,NA,"Male","Postgraduate","Default risk",1,33,"Amies",39,"Spain",NA,1,105997.25,NA,55.40946224957,"High Net Worth","Divorced",NA,NA,640,0,0,NA,0
6045,1,"Male",NA,"No loan",9,NA,"Fowler",35,NA,0,1,165008.97,NA,131.665806780596,"Mass Market",NA,52,NA,719,1,100829.94,1,0
6046,1,"Male","High School",NA,5,NA,NA,NA,"Spain",0,0,NA,NA,102.854097954389,NA,"Single",59,NA,NA,NA,97792.21,1,0
6047,NA,"Male","University","No loan",9,NA,"Kapustin",33,"Germany",0,0,NA,1,71.7277635041972,"Mass Market","Married",57,NA,NA,NA,132527.9,2,0
6048,NA,NA,NA,NA,8,36,NA,40,"France",0,0,NA,0,NA,"Mass Market","Married",NA,NA,NA,1,0,2,0
6049,NA,"Female",NA,"No loan",9,30,"Genovesi",33,"France",0,1,68087.15,1,53.6244469289324,"Affluent","Single",50,NA,715,1,85227.84,1,0
6050,10,"Female","High School","No loan",NA,32,"Dickinson",26,"Germany",0,1,154491.39,0,NA,"Affluent","Single",62,NA,568,1,109819.16,NA,0
6051,NA,NA,NA,"Active loan",6,NA,"O'Brien",45,"France",0,1,199392.14,1,44.0952400321237,NA,NA,NA,NA,656,0,NA,NA,0
6052,2,"Male","Other","Default risk",0,18,NA,37,"Germany",NA,1,198745.94,NA,173.769123897854,"High Net Worth","Widowed",NA,NA,NA,0,139265.63,NA,0
6053,NA,"Female","University","No loan",8,28,NA,NA,NA,0,NA,171762.87,NA,NA,NA,"Married",52,NA,850,1,NA,1,1
6054,5,"Female","University",NA,NA,26,"Onyemauchechukwu",46,"Spain",NA,1,54227.06,0,NA,"Mass Market","Married",53,NA,450,1,177619.71,NA,0
6055,4,NA,"Postgraduate",NA,0,29,"Eve",65,NA,NA,NA,107563.16,NA,44.5414467817251,"High Net Worth","Divorced",60,NA,566,0,120100.41,1,1
6056,9,"Male",NA,"Active loan",NA,27,"Carter",35,"France",0,1,31372.91,1,129.295879775025,NA,NA,64,NA,763,NA,NA,1,0
6057,NA,"Male","High School","Active loan",4,26,"Onwumelu",60,NA,NA,1,126743.33,0,NA,"Affluent","Single",67,NA,748,0,152335.7,1,1
6058,4,"Male","High School","No loan",2,31,NA,43,"Germany",0,0,12537.42,1,123.811596898513,NA,"Single",71,NA,533,1,NA,NA,0
6059,6,"Male","High School","Active loan",4,31,"Wan",31,"Spain",0,1,NA,1,168.026463138909,"Affluent",NA,NA,NA,577,NA,0,NA,0
6060,1,"Female","High School",NA,NA,30,"Marshall",36,"Germany",0,NA,53412.54,1,93.5860251630387,"Affluent","Single",NA,NA,NA,0,114391.62,1,0
6061,3,"Female","University","No loan",NA,22,NA,41,"France",0,1,NA,0,131.554827239683,NA,NA,42,NA,501,NA,144260.5,1,0
6062,NA,NA,NA,"No loan",NA,23,"White",28,"Germany",0,1,106799.49,NA,NA,"Mass Market",NA,NA,NA,NA,1,139246.22,2,0
6063,NA,"Male","Postgraduate","Active loan",3,NA,"Pisani",60,"France",1,1,163691.48,1,NA,"High Net Worth","Divorced",49,NA,429,0,0,2,0
6064,1,NA,"University",NA,9,26,NA,NA,"Spain",0,0,NA,0,77.4699777086183,NA,"Married",56,NA,NA,NA,0,2,0
6065,6,"Male","High School","Active loan",4,NA,"John",NA,"Spain",NA,1,154641.91,1,114.45752121062,"Affluent","Single",67,NA,660,NA,109869.32,1,0
6066,10,"Female","Postgraduate","Active loan",3,NA,"Simpson",31,NA,1,1,148218.86,0,105.51610359227,"High Net Worth","Divorced",52,NA,589,0,NA,1,0
6067,7,"Male",NA,"Default risk",0,31,"Farmer",NA,"France",4,NA,48869.67,0,137.044399509652,NA,"Widowed",17,NA,562,0,0,1,0
6068,0,"Male",NA,NA,NA,33,"Mao",NA,NA,NA,NA,105570.39,1,NA,"Mass Market",NA,42,NA,632,1,106134.46,1,0
6069,8,NA,NA,NA,NA,30,"Gresswell",46,NA,NA,NA,NA,1,61.3878178741008,NA,NA,65,NA,586,1,106968.96,NA,1
6070,NA,"Female",NA,"Active loan",NA,NA,"Ndubuagha",51,NA,0,NA,32626.21,0,146.366492771609,NA,"Single",49,NA,562,1,122822,2,0
6071,5,NA,"University","No loan",NA,23,"Lung",38,NA,0,1,87363.56,NA,83.3292797598829,"Mass Market","Married",75,NA,585,NA,NA,1,0
6072,3,NA,"University",NA,10,31,"Lo",NA,NA,0,0,81054,NA,NA,NA,"Married",NA,NA,655,1,250898.09,3,1
6073,NA,"Female",NA,"Active loan",NA,25,"Nucci",27,"France",0,1,30912.89,NA,NA,"Affluent","Single",NA,NA,NA,0,98590.25,1,0
6074,NA,"Female","University",NA,NA,27,"Ekechukwu",26,"Germany",NA,NA,50070.59,0,447.840910026693,"Mass Market","Married",46,NA,601,1,105514.69,NA,0
6075,3,NA,"University","No loan",NA,NA,"McDonald",21,"France",0,NA,55601.44,1,70.2718129833022,"Mass Market",NA,61,NA,NA,1,0,2,0
6076,NA,"Male","Other",NA,0,NA,"Odili",46,"France",NA,NA,NA,0,88.8027923237857,NA,NA,57,NA,656,0,NA,NA,0
6077,NA,NA,"University","No loan",8,33,"Zetticci",51,"Germany",0,1,134901.57,1,161.154823539943,"Mass Market",NA,71,NA,775,NA,123783.25,NA,0
6078,4,"Female","High School","Active loan",5,NA,NA,NA,"France",NA,1,121846.81,NA,40.85570526098,"Affluent","Single",NA,NA,590,1,0,2,0
6079,NA,NA,NA,NA,NA,30,NA,23,"France",0,0,NA,1,116.482903496499,"Mass Market","Married",NA,NA,623,1,106012.2,2,0
6080,1,NA,"High School","Active loan",7,31,"Black",NA,"Germany",0,1,148537.07,1,202.654438310408,"Affluent",NA,43,NA,687,0,NA,2,0
6081,3,NA,"University","No loan",8,26,"Toscani",NA,"Germany",0,1,68343.53,NA,71.2512031773985,"Mass Market",NA,NA,NA,476,1,NA,1,0
6082,4,"Male",NA,NA,2,34,"Bell",35,"France",0,NA,NA,1,NA,"Affluent","Single",26,NA,452,1,148172.44,1,0
6083,7,"Male","University","No loan",9,37,NA,22,"Spain",NA,1,161253.08,1,57.127568393275,NA,"Married",46,NA,NA,1,125265.61,1,0
6084,NA,NA,NA,"No loan",8,27,NA,38,"Spain",NA,1,158527.45,1,NA,NA,NA,68,NA,702,1,NA,2,0
6085,7,"Female","University",NA,NA,29,"Bellucci",49,"France",0,0,NA,0,76.5515336132667,"Mass Market","Married",41,NA,NA,NA,29602.08,1,1
6086,7,"Male","High School","Active loan",NA,27,"Flores",NA,"Germany",0,1,NA,0,79.5610962311652,"Affluent",NA,74,NA,782,0,98556.89,2,0
6087,2,NA,"University","No loan",NA,NA,"Martin",32,NA,NA,NA,79602.86,0,175.689578627523,"Mass Market","Married",52,NA,786,NA,NA,2,0
6088,6,NA,"Postgraduate","Active loan",3,40,NA,33,NA,1,1,158736.07,1,101.488109601979,"High Net Worth",NA,56,NA,502,0,NA,2,0
6089,2,"Male","High School","Active loan",4,NA,"Longo",43,NA,NA,1,NA,1,57.0818139018468,"Affluent","Single",NA,NA,NA,0,NA,2,0
6090,7,NA,"High School","No loan",5,34,"Graham",51,"Germany",NA,0,NA,NA,149.822711560431,"Affluent","Single",43,NA,554,1,105701.91,NA,1
6091,NA,"Male","Postgraduate",NA,NA,32,"Webb",29,NA,1,NA,54914.92,NA,44.1668742020848,"High Net Worth",NA,NA,NA,658,0,NA,NA,0
6092,1,NA,"High School","Active loan",4,29,"Morley",NA,"Spain",0,1,52462.25,0,82.8573886548825,"Affluent","Single",73,NA,724,0,0,2,0
6093,6,"Male","University",NA,8,27,"Moretti",37,"France",NA,NA,NA,1,NA,"Mass Market",NA,65,NA,630,1,NA,2,0
6094,6,NA,"High School","Active loan",7,28,"Dunn",33,NA,NA,1,151623.91,0,77.5303754167747,"Affluent","Single",72,NA,452,NA,131698.57,2,0
6095,1,"Female","High School",NA,NA,NA,"Marchesi",32,"France",0,NA,28515.17,1,180.359089581265,"Affluent","Single",NA,NA,510,0,0,NA,0
6096,NA,"Male","University","No loan",8,NA,"Hull",49,"France",NA,1,187008.45,0,124.895880241753,"Mass Market",NA,NA,NA,680,NA,0,2,0
6097,10,"Female",NA,"No loan",8,36,NA,NA,"Spain",0,1,NA,NA,NA,"Mass Market","Married",71,NA,NA,1,0,NA,0
6098,9,NA,"High School","No loan",5,28,"Hazon",NA,"Spain",0,1,152153.74,0,54.5964535939122,NA,"Single",45,NA,793,1,NA,2,0
6099,5,NA,"Postgraduate","Default risk",1,31,"Dickinson",NA,NA,NA,1,NA,NA,91.5654691341185,"High Net Worth","Divorced",54,NA,NA,0,126645.13,1,0
6100,8,"Female","University","No loan",10,33,"Alexander",46,"France",NA,1,133059.15,0,NA,"Mass Market","Married",53,NA,646,NA,0,2,0
6101,9,NA,"Postgraduate","Active loan",7,39,NA,29,"France",1,1,NA,1,295.941907952916,"High Net Worth",NA,NA,NA,NA,0,103417.74,NA,0
6102,NA,"Male","High School",NA,4,NA,"Marshall",39,"Germany",NA,1,31728.86,NA,140.296144093098,"Affluent","Single",NA,NA,NA,NA,NA,NA,1
6103,1,"Male","University",NA,10,30,"Cawker",41,NA,0,NA,193093.77,1,NA,"Mass Market","Married",NA,NA,NA,NA,NA,2,0
6104,NA,"Male","University","No loan",NA,25,"Pennington",40,NA,0,NA,34670.62,1,176.937384154132,NA,"Married",60,NA,633,1,150578,NA,1
6105,NA,"Female","University","No loan",8,21,"Pan",42,NA,0,NA,32574.01,0,156.35427795526,"Mass Market","Married",NA,NA,569,1,146100.75,1,1
6106,NA,"Male","High School","Active loan",5,34,NA,NA,"Spain",0,NA,55551.26,1,51.2725215195335,"Affluent","Single",NA,NA,615,1,126773.43,NA,0
6107,0,"Male",NA,"No loan",2,20,"Gallo",36,"France",0,1,84460.18,1,NA,"Affluent","Single",NA,NA,678,1,NA,1,0
6108,NA,"Female",NA,"Active loan",NA,34,NA,NA,NA,0,1,98686.4,NA,61.7279330324583,"Affluent","Single",47,NA,618,1,NA,1,1
6109,7,"Male","University","No loan",NA,19,NA,39,"Spain",NA,1,41183.02,1,47.9810647997802,"Mass Market","Married",41,NA,667,NA,NA,NA,0
6110,NA,"Male","High School","Active loan",5,28,"Bazhenov",NA,"Spain",0,0,NA,1,112.828698367221,NA,"Single",NA,NA,746,1,NA,2,0
6111,5,"Female","Postgraduate","Default risk",0,30,"Chen",79,"Spain",2,NA,174118.93,1,61.7070318916644,NA,"Divorced",36,NA,NA,0,108078.56,NA,0
6112,NA,NA,NA,"No loan",2,23,"Yuan",33,NA,0,1,NA,1,122.042925702005,NA,"Single",79,NA,841,1,NA,NA,0
6113,6,"Female","High School","Active loan",NA,20,"Simmons",24,"Spain",NA,1,153771.8,1,42.1923861066864,NA,"Single",NA,NA,NA,0,149592.14,1,0
6114,3,NA,"University","No loan",NA,26,NA,NA,"Spain",0,1,NA,0,NA,"Mass Market","Married",77,NA,NA,1,89158.94,3,1
6115,3,NA,"Other",NA,0,20,"Udinesi",NA,"Spain",3,NA,131281.28,NA,82.2332544692836,"High Net Worth","Widowed",40,NA,NA,0,NA,NA,0
6116,NA,"Male","University","No loan",10,30,"Ch'en",NA,"Germany",0,1,4389.4,NA,263.725574710938,"Mass Market",NA,78,NA,NA,1,151607.56,1,0
6117,2,NA,"High School","No loan",2,36,NA,45,"Spain",0,0,197789.83,0,85.0886849319725,"Affluent","Single",NA,NA,NA,1,NA,1,1
6118,NA,"Male",NA,NA,NA,29,"Gorman",36,"France",0,0,27468.72,1,NA,"Mass Market","Married",93,NA,674,1,154525.7,1,0
6119,3,NA,"University","No loan",NA,30,"Anderson",72,"France",NA,0,52876.41,NA,NA,"Mass Market",NA,60,NA,NA,NA,140997.26,NA,0
6120,9,"Female","High School","Active loan",4,NA,"Chukwukadibia",NA,NA,0,1,92027.69,1,134.176104146657,NA,NA,46,NA,NA,0,0,NA,1
